Rank,NOC,Gold,Silver,Bronze,Total,Year,Events_Participated,NA,ER,HE,Score,Score_Lag1,Score_Lag2,AP,Mundlak_ER,Mundlak_NM,Const
31,Chinese Taipei,2,2,1,5,2004,0.0,0.0,0.0,0,11,6.0,2.0,8.0,0.0,6.9,1
44,Chinese Taipei,1,1,2,4,2008,0.0,0.0,0.0,0,7,11.0,6.0,17.0,0.0,6.9,1
48,Chinese Taipei,1,0,1,2,2012,0.0,0.0,0.0,0,4,7.0,11.0,18.0,0.0,6.9,1
50,Chinese Taipei,1,0,2,3,2016,0.0,0.0,0.0,0,5,4.0,7.0,11.0,0.0,6.9,1
34,Chinese Taipei,2,4,6,12,2020,0.0,0.0,0.0,0,20,5.0,4.0,9.0,0.0,6.9,1
35,Chinese Taipei,2,0,5,7,2024,0.0,0.0,0.0,0,11,20.0,5.0,25.0,0.0,6.9,1
31,Colombia,0,1,2,3,1972,0.0,0.0,0.0,0,4,0.0,0.0,0.0,0.0,5.818181818181818,1
33,Colombia,0,1,0,1,1984,0.0,0.0,0.0,0,2,4.0,0.0,4.0,0.0,5.818181818181818,1
46,Colombia,0,0,1,1,1988,0.0,0.0,0.0,0,1,2.0,4.0,6.0,0.0,5.818181818181818,1
54,Colombia,0,0,1,1,1992,0.0,0.0,0.0,0,1,1.0,2.0,3.0,0.0,5.818181818181818,1
50,Colombia,1,0,0,1,2000,0.0,0.0,0.0,0,3,1.0,1.0,2.0,0.0,5.818181818181818,1
68,Colombia,0,0,2,2,2004,0.0,0.0,0.0,0,2,3.0,1.0,4.0,0.0,5.818181818181818,1
60,Colombia,0,2,1,3,2008,0.0,0.0,0.0,0,5,2.0,3.0,5.0,0.0,5.818181818181818,1
38,Colombia,1,3,5,9,2012,0.0,0.0,0.0,0,14,5.0,2.0,7.0,0.0,5.818181818181818,1
22,Colombia,3,2,3,8,2016,0.0,0.0,0.0,0,16,14.0,5.0,19.0,0.0,5.818181818181818,1
66,Colombia,0,4,1,5,2020,0.0,0.0,0.0,0,9,16.0,14.0,30.0,0.0,5.818181818181818,1
66,Colombia,0,3,1,4,2024,0.0,0.0,0.0,0,7,9.0,16.0,25.0,0.0,5.818181818181818,1
44,Croatia,0,1,2,3,1992,0.0,0.0,0.0,0,4,0.0,0.0,0.0,0.0,10.555555555555555,1
45,Croatia,1,1,0,2,1996,0.0,0.0,0.0,0,5,4.0,0.0,4.0,0.0,10.555555555555555,1
49,Croatia,1,0,1,2,2000,0.0,0.0,0.0,0,4,5.0,4.0,9.0,0.0,10.555555555555555,1
44,Croatia,1,2,2,5,2004,0.0,0.0,0.0,0,9,4.0,5.0,9.0,0.0,10.555555555555555,1
59,Croatia,0,2,3,5,2008,0.0,0.0,0.0,0,7,9.0,4.0,13.0,0.0,10.555555555555555,1
26,Croatia,3,1,2,6,2012,0.0,0.0,0.0,0,13,7.0,9.0,16.0,0.0,10.555555555555555,1
17,Croatia,5,3,2,10,2016,0.0,0.0,0.0,0,23,13.0,7.0,20.0,0.0,10.555555555555555,1
26,Croatia,3,3,2,8,2020,0.0,0.0,0.0,0,17,23.0,13.0,36.0,0.0,10.555555555555555,1
30,Croatia,2,2,3,7,2024,0.0,0.0,0.0,0,13,17.0,23.0,40.0,0.0,10.555555555555555,1
12,Cuba,1,1,0,2,1900,0.0,0.0,0.0,0,5,0.0,0.0,0.0,0.0,28.58823529411765,1
4,Cuba,3,0,0,3,1904,0.0,0.0,0.0,0,9,5.0,0.0,5.0,0.0,28.58823529411765,1
28,Cuba,0,1,0,1,1948,0.0,0.0,0.0,0,2,9.0,5.0,14.0,0.0,28.58823529411765,1
30,Cuba,0,1,0,1,1964,0.0,0.0,0.0,0,2,2.0,9.0,11.0,0.0,28.58823529411765,1
31,Cuba,0,4,0,4,1968,0.0,0.0,0.0,0,8,2.0,2.0,4.0,0.0,28.58823529411765,1
14,Cuba,3,1,4,8,1972,0.0,0.0,0.0,0,15,8.0,2.0,10.0,0.0,28.58823529411765,1
8,Cuba,6,4,3,13,1976,0.0,0.0,0.0,0,29,15.0,8.0,23.0,0.0,28.58823529411765,1
4,Cuba,8,7,5,20,1980,0.0,0.0,0.0,0,43,29.0,15.0,44.0,0.0,28.58823529411765,1
5,Cuba,14,6,11,31,1992,0.0,0.0,0.0,0,65,43.0,29.0,72.0,0.0,28.58823529411765,1
8,Cuba,9,8,8,25,1996,0.0,0.0,0.0,0,51,65.0,43.0,108.0,0.0,28.58823529411765,1
9,Cuba,11,11,7,29,2000,0.0,0.0,0.0,0,62,51.0,65.0,116.0,0.0,28.58823529411765,1
11,Cuba,9,7,11,27,2004,0.0,0.0,0.0,0,52,62.0,51.0,113.0,0.0,28.58823529411765,1
19,Cuba,3,10,17,30,2008,0.0,0.0,0.0,0,46,52.0,62.0,114.0,0.0,28.58823529411765,1
16,Cuba,5,3,7,15,2012,0.0,0.0,0.0,0,28,46.0,52.0,98.0,0.0,28.58823529411765,1
18,Cuba,5,2,4,11,2016,0.0,0.0,0.0,0,23,28.0,46.0,74.0,0.0,28.58823529411765,1
14,Cuba,7,3,5,15,2020,0.0,0.0,0.0,0,32,23.0,28.0,51.0,0.0,28.58823529411765,1
32,Cuba,2,1,6,9,2024,0.0,0.0,0.0,0,14,32.0,23.0,55.0,0.0,28.58823529411765,1
70,Cyprus,0,1,0,1,2012,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,2.0,1
74,Cyprus,0,1,0,1,2024,0.0,0.0,0.0,0,2,2.0,0.0,2.0,0.0,2.0,1
17,Czech Republic,4,3,4,11,1996,0.0,0.0,0.0,0,22,0.0,0.0,0.0,0.0,17.25,1
28,Czech Republic,2,3,3,8,2000,0.0,0.0,0.0,0,15,22.0,0.0,22.0,0.0,17.25,1
42,Czech Republic,1,3,5,9,2004,0.0,0.0,0.0,0,14,15.0,22.0,37.0,0.0,17.25,1
25,Czech Republic,3,3,1,7,2008,0.0,0.0,0.0,0,16,14.0,15.0,29.0,0.0,17.25,1
19,Czech Republic,4,4,3,11,2012,0.0,0.0,0.0,0,23,16.0,14.0,30.0,0.0,17.25,1
43,Czech Republic,1,2,7,10,2016,0.0,0.0,0.0,0,14,23.0,16.0,39.0,0.0,17.25,1
18,Czech Republic,4,4,3,11,2020,0.0,0.0,0.0,0,23,14.0,23.0,37.0,0.0,17.25,1
28,Czech Republic,3,0,2,5,2024,0.0,0.0,0.0,0,11,23.0,14.0,37.0,0.0,17.25,1
9,Denmark,1,2,3,6,1896,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0,13.777777777777779,1
10,Denmark,1,3,2,6,1900,0.0,0.0,0.0,0,11,10.0,0.0,10.0,0.0,13.777777777777779,1
16,Denmark,0,2,3,5,1908,0.0,0.0,0.0,0,7,11.0,10.0,21.0,0.0,13.777777777777779,1
14,Denmark,1,6,5,12,1912,0.0,0.0,0.0,0,20,7.0,11.0,18.0,0.0,13.777777777777779,1
10,Denmark,3,9,1,13,1920,0.0,0.0,0.0,0,28,20.0,7.0,27.0,0.0,13.777777777777779,1
12,Denmark,2,5,2,9,1924,0.0,0.0,0.0,0,18,28.0,20.0,48.0,0.0,13.777777777777779,1
13,Denmark,3,1,2,6,1928,0.0,0.0,0.0,0,13,18.0,28.0,46.0,0.0,13.777777777777779,1
23,Denmark,0,2,3,5,1936,0.0,0.0,0.0,0,7,13.0,18.0,31.0,0.0,13.777777777777779,1
10,Denmark,5,7,8,20,1948,0.0,0.0,0.0,0,37,7.0,13.0,20.0,0.0,13.777777777777779,1
15,Denmark,2,1,3,6,1952,0.0,0.0,0.0,0,11,37.0,7.0,44.0,0.0,13.777777777777779,1
20,Denmark,1,2,1,4,1956,0.0,0.0,0.0,0,8,11.0,37.0,48.0,0.0,13.777777777777779,1
18,Denmark,2,1,3,6,1964,0.0,0.0,0.0,0,11,8.0,11.0,19.0,0.0,13.777777777777779,1
22,Denmark,1,4,3,8,1968,0.0,0.0,0.0,0,14,11.0,8.0,19.0,0.0,13.777777777777779,1
25,Denmark,1,0,0,1,1972,0.0,0.0,0.0,0,3,14.0,11.0,25.0,0.0,13.777777777777779,1
24,Denmark,1,0,2,3,1976,0.0,0.0,0.0,0,5,3.0,14.0,17.0,0.0,13.777777777777779,1
16,Denmark,2,1,2,5,1980,0.0,0.0,0.0,0,10,5.0,3.0,8.0,0.0,13.777777777777779,1
27,Denmark,0,3,3,6,1984,0.0,0.0,0.0,0,9,10.0,5.0,15.0,0.0,13.777777777777779,1
23,Denmark,2,1,1,4,1988,0.0,0.0,0.0,0,9,9.0,10.0,19.0,0.0,13.777777777777779,1
30,Denmark,1,1,4,6,1992,0.0,0.0,0.0,0,9,9.0,9.0,18.0,0.0,13.777777777777779,1
19,Denmark,4,1,1,6,1996,0.0,0.0,0.0,0,15,9.0,9.0,18.0,0.0,13.777777777777779,1
30,Denmark,2,3,1,6,2000,0.0,0.0,0.0,0,13,15.0,9.0,24.0,0.0,13.777777777777779,1
34,Denmark,2,1,5,8,2004,0.0,0.0,0.0,0,13,13.0,15.0,28.0,0.0,13.777777777777779,1
30,Denmark,2,2,3,7,2008,0.0,0.0,0.0,0,13,13.0,13.0,26.0,0.0,13.777777777777779,1
30,Denmark,2,4,3,9,2012,0.0,0.0,0.0,0,17,13.0,13.0,26.0,0.0,13.777777777777779,1
27,Denmark,2,6,7,15,2016,0.0,0.0,0.0,0,25,17.0,13.0,30.0,0.0,13.777777777777779,1
25,Denmark,3,4,4,11,2020,0.0,0.0,0.0,0,21,25.0,17.0,42.0,0.0,13.777777777777779,1
29,Denmark,2,2,5,9,2024,0.0,0.0,0.0,0,15,21.0,25.0,46.0,0.0,13.777777777777779,1
62,Dominica,1,0,0,1,2024,0.0,0.0,0.0,0,3,0.0,0.0,0.0,0.0,3.0,1
43,Dominican Republic,0,0,1,1,1984,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,4.0,1
54,Dominican Republic,1,0,0,1,2004,0.0,0.0,0.0,0,3,1.0,0.0,1.0,0.0,4.0,1
47,Dominican Republic,1,1,0,2,2008,0.0,0.0,0.0,0,5,3.0,1.0,4.0,0.0,4.0,1
47,Dominican Republic,1,1,0,2,2012,0.0,0.0,0.0,0,5,5.0,3.0,8.0,0.0,4.0,1
78,Dominican Republic,0,0,1,1,2016,0.0,0.0,0.0,0,1,5.0,5.0,10.0,0.0,4.0,1
68,Dominican Republic,0,3,2,5,2020,0.0,0.0,0.0,0,8,1.0,5.0,6.0,0.0,4.0,1
59,Dominican Republic,1,0,2,3,2024,0.0,0.0,0.0,0,5,8.0,1.0,9.0,0.0,4.0,1
49,Ecuador,1,0,0,1,1996,0.0,0.0,0.0,0,3,0.0,0.0,0.0,0.0,5.5,1
72,Ecuador,0,1,0,1,2008,0.0,0.0,0.0,0,2,3.0,0.0,3.0,0.0,5.5,1
38,Ecuador,2,1,0,3,2020,0.0,0.0,0.0,0,8,2.0,3.0,5.0,0.0,5.5,1
49,Ecuador,1,2,2,5,2024,0.0,0.0,0.0,0,9,8.0,2.0,10.0,0.0,5.5,1
17,Egypt,2,1,1,4,1928,0.0,0.0,0.0,0,9,0.0,0.0,0.0,0.0,6.181818181818182,1
16,Egypt,2,1,2,5,1936,0.0,0.0,0.0,0,10,9.0,0.0,9.0,0.0,6.181818181818182,1
16,Egypt,2,2,1,5,1948,0.0,0.0,0.0,0,11,10.0,9.0,19.0,0.0,6.181818181818182,1
40,Egypt,0,0,1,1,1952,0.0,0.0,0.0,0,1,11.0,10.0,21.0,0.0,6.181818181818182,1
33,Egypt,0,1,0,1,1984,0.0,0.0,0.0,0,2,1.0,11.0,12.0,0.0,6.181818181818182,1
46,Egypt,1,1,3,5,2004,0.0,0.0,0.0,0,8,2.0,1.0,3.0,0.0,6.181818181818182,1
81,Egypt,0,0,2,2,2008,0.0,0.0,0.0,0,2,8.0,2.0,10.0,0.0,6.181818181818182,1
56,Egypt,0,3,1,4,2012,0.0,0.0,0.0,0,7,2.0,8.0,10.0,0.0,6.181818181818182,1
75,Egypt,0,0,3,3,2016,0.0,0.0,0.0,0,3,7.0,2.0,9.0,0.0,6.181818181818182,1
54,Egypt,1,1,4,6,2020,0.0,0.0,0.0,0,9,3.0,7.0,10.0,0.0,6.181818181818182,1
52,Egypt,1,1,1,3,2024,0.0,0.0,0.0,0,6,9.0,3.0,12.0,0.0,6.181818181818182,1
14,Estonia,1,2,0,3,1920,0.0,0.0,0.0,0,7,0.0,0.0,0.0,0.0,5.909090909090909,1
17,Estonia,1,1,4,6,1924,0.0,0.0,0.0,0,9,7.0,0.0,7.0,0.0,5.909090909090909,1
16,Estonia,2,1,2,5,1928,0.0,0.0,0.0,0,10,9.0,7.0,16.0,0.0,5.909090909090909,1
14,Estonia,2,2,3,7,1936,0.0,0.0,0.0,0,13,10.0,9.0,19.0,0.0,5.909090909090909,1
34,Estonia,1,0,1,2,1992,0.0,0.0,0.0,0,4,13.0,10.0,23.0,0.0,5.909090909090909,1
47,Estonia,1,0,2,3,2000,0.0,0.0,0.0,0,5,4.0,13.0,17.0,0.0,5.909090909090909,1
64,Estonia,0,1,2,3,2004,0.0,0.0,0.0,0,4,5.0,4.0,9.0,0.0,5.909090909090909,1
47,Estonia,1,1,0,2,2008,0.0,0.0,0.0,0,5,4.0,5.0,9.0,0.0,5.909090909090909,1
65,Estonia,0,1,1,2,2012,0.0,0.0,0.0,0,3,5.0,4.0,9.0,0.0,5.909090909090909,1
78,Estonia,0,0,1,1,2016,0.0,0.0,0.0,0,1,3.0,5.0,8.0,0.0,5.909090909090909,1
59,Estonia,1,0,1,2,2020,0.0,0.0,0.0,0,4,1.0,3.0,4.0,0.0,5.909090909090909,1
24,Ethiopia,1,0,0,1,1964,0.0,0.0,0.0,0,3,0.0,0.0,0.0,0.0,9.384615384615385,1
25,Ethiopia,1,1,0,2,1968,0.0,0.0,0.0,0,5,3.0,0.0,3.0,0.0,9.384615384615385,1
41,Ethiopia,0,0,2,2,1972,0.0,0.0,0.0,0,2,5.0,3.0,8.0,0.0,9.384615384615385,1
17,Ethiopia,2,0,2,4,1980,0.0,0.0,0.0,0,8,2.0,5.0,7.0,0.0,9.384615384615385,1
33,Ethiopia,1,0,2,3,1992,0.0,0.0,0.0,0,5,8.0,2.0,10.0,0.0,9.384615384615385,1
34,Ethiopia,2,0,1,3,1996,0.0,0.0,0.0,0,7,5.0,8.0,13.0,0.0,9.384615384615385,1
20,Ethiopia,4,1,3,8,2000,0.0,0.0,0.0,0,17,7.0,5.0,12.0,0.0,9.384615384615385,1
28,Ethiopia,2,3,2,7,2004,0.0,0.0,0.0,0,14,17.0,7.0,24.0,0.0,9.384615384615385,1
17,Ethiopia,4,2,1,7,2008,0.0,0.0,0.0,0,17,14.0,17.0,31.0,0.0,9.384615384615385,1
25,Ethiopia,3,2,3,8,2012,0.0,0.0,0.0,0,16,17.0,14.0,31.0,0.0,9.384615384615385,1
44,Ethiopia,1,2,5,8,2016,0.0,0.0,0.0,0,12,16.0,17.0,33.0,0.0,9.384615384615385,1
56,Ethiopia,1,1,2,4,2020,0.0,0.0,0.0,0,7,12.0,16.0,28.0,0.0,9.384615384615385,1
47,Ethiopia,1,3,0,4,2024,0.0,0.0,0.0,0,9,7.0,12.0,19.0,0.0,9.384615384615385,1
4,FRA,5,4,2,11,1896,18.0,12.0,0.16822429906542055,0,25,0.0,0.0,0.0,0.29291811392211564,54.32142857142857,1
1,FRA,27,39,37,103,1900,81.0,715.0,0.3432203389830508,0,196,25.0,0.0,25.0,0.29291811392211564,54.32142857142857,1
13,FRA,0,1,0,1,1904,2.0,1.0,0.008928571428571428,0,2,196.0,25.0,221.0,0.29291811392211564,54.32142857142857,1
4,FRA,5,5,9,19,1908,54.0,208.0,0.20224719101123595,0,34,2.0,196.0,198.0,0.29291811392211564,54.32142857142857,1
5,FRA,7,4,3,14,1912,66.0,119.0,0.2796610169491525,0,32,34.0,2.0,36.0,0.29291811392211564,54.32142857142857,1
8,FRA,9,19,13,41,1920,113.0,304.0,0.31129476584022037,0,78,32.0,34.0,66.0,0.29291811392211564,54.32142857142857,1
3,FRA,13,15,10,38,1924,128.0,401.0,0.4383561643835616,0,79,78.0,32.0,110.0,0.29291811392211564,54.32142857142857,1
7,FRA,6,10,5,21,1928,112.0,255.0,0.4444444444444444,0,43,79.0,78.0,157.0,0.29291811392211564,54.32142857142857,1
6,FRA,7,6,6,19,1936,100.0,201.0,0.33112582781456956,0,39,43.0,79.0,122.0,0.29291811392211564,54.32142857142857,1
3,FRA,10,6,13,29,1948,135.0,316.0,0.4326923076923077,0,55,39.0,43.0,82.0,0.29291811392211564,54.32142857142857,1
7,FRA,6,6,6,18,1952,131.0,245.0,0.3875739644970414,0,36,55.0,39.0,94.0,0.29291811392211564,54.32142857142857,1
11,FRA,4,4,6,14,1956,101.0,145.0,0.2953216374269006,0,26,36.0,55.0,91.0,0.29291811392211564,54.32142857142857,1
21,FRA,1,8,6,15,1964,89.0,138.0,0.24054054054054055,0,25,26.0,36.0,62.0,0.29291811392211564,54.32142857142857,1
6,FRA,7,3,5,15,1968,107.0,200.0,0.2772020725388601,0,32,25.0,26.0,51.0,0.29291811392211564,54.32142857142857,1
17,FRA,2,4,7,13,1972,132.0,227.0,0.30068337129840544,0,21,32.0,25.0,57.0,0.29291811392211564,54.32142857142857,1
15,FRA,2,3,4,9,1976,128.0,206.0,0.2882882882882883,0,16,21.0,32.0,53.0,0.29291811392211564,54.32142857142857,1
8,FRA,6,5,3,14,1980,85.0,121.0,0.18722466960352424,0,31,16.0,21.0,37.0,0.29291811392211564,54.32142857142857,1
12,FRA,5,7,16,28,1984,139.0,238.0,0.28252032520325204,0,45,31.0,16.0,47.0,0.29291811392211564,54.32142857142857,1
9,FRA,6,4,6,16,1988,167.0,266.0,0.3162878787878788,0,32,45.0,31.0,76.0,0.29291811392211564,54.32142857142857,1
9,FRA,8,5,16,29,1992,196.0,339.0,0.34205933682373474,0,50,32.0,45.0,77.0,0.29291811392211564,54.32142857142857,1
5,FRA,15,7,15,37,1996,183.0,299.0,0.3029801324503311,0,74,50.0,32.0,82.0,0.29291811392211564,54.32142857142857,1
6,FRA,13,14,11,38,2000,196.0,336.0,0.2938530734632684,0,78,74.0,50.0,124.0,0.29291811392211564,54.32142857142857,1
7,FRA,11,9,13,33,2004,193.0,308.0,0.2884902840059791,0,64,78.0,74.0,152.0,0.29291811392211564,54.32142857142857,1
10,FRA,7,16,20,43,2008,205.0,309.0,0.30460624071322434,0,73,64.0,78.0,142.0,0.29291811392211564,54.32142857142857,1
7,FRA,11,11,13,35,2012,188.0,324.0,0.28059701492537314,0,68,73.0,64.0,137.0,0.29291811392211564,54.32142857142857,1
7,FRA,10,18,14,42,2016,202.0,392.0,0.2961876832844575,0,80,68.0,73.0,141.0,0.29291811392211564,54.32142857142857,1
8,FRA,10,12,11,33,2020,194.0,396.0,0.25492772667542707,0,65,80.0,68.0,148.0,0.29291811392211564,54.32142857142857,1
5,FRA,16,26,22,64,2024,223.0,601.0,0.3021680216802168,1,122,65.0,80.0,145.0,0.29291811392211564,54.32142857142857,1
54,Fiji,1,0,0,1,2016,0.0,0.0,0.0,0,3,0.0,0.0,0.0,0.0,3.0,1
59,Fiji,1,0,1,2,2020,0.0,0.0,0.0,0,4,3.0,0.0,3.0,0.0,3.0,1
74,Fiji,0,1,0,1,2024,0.0,0.0,0.0,0,2,4.0,3.0,7.0,0.0,3.0,1
13,Finland,1,1,3,5,1908,0.0,0.0,0.0,0,8,0.0,0.0,0.0,0.0,22.666666666666668,1
4,Finland,9,8,9,26,1912,0.0,0.0,0.0,0,52,8.0,0.0,8.0,0.0,22.666666666666668,1
3,Finland,15,10,9,34,1920,0.0,0.0,0.0,0,74,52.0,8.0,60.0,0.0,22.666666666666668,1
2,Finland,14,13,10,37,1924,0.0,0.0,0.0,0,78,74.0,52.0,126.0,0.0,22.666666666666668,1
3,Finland,8,8,9,25,1928,0.0,0.0,0.0,0,49,78.0,74.0,152.0,0.0,22.666666666666668,1
5,Finland,8,6,6,20,1936,0.0,0.0,0.0,0,42,49.0,78.0,127.0,0.0,22.666666666666668,1
6,Finland,8,7,5,20,1948,0.0,0.0,0.0,0,43,42.0,49.0,91.0,0.0,22.666666666666668,1
8,Finland,6,3,13,22,1952,0.0,0.0,0.0,0,37,43.0,42.0,85.0,0.0,22.666666666666668,1
13,Finland,3,1,11,15,1956,0.0,0.0,0.0,0,22,37.0,43.0,80.0,0.0,22.666666666666668,1
12,Finland,3,0,2,5,1964,0.0,0.0,0.0,0,11,22.0,37.0,59.0,0.0,22.666666666666668,1
24,Finland,1,2,1,4,1968,0.0,0.0,0.0,0,8,11.0,22.0,33.0,0.0,22.666666666666668,1
14,Finland,3,1,4,8,1972,0.0,0.0,0.0,0,15,8.0,11.0,19.0,0.0,22.666666666666668,1
11,Finland,4,2,0,6,1976,0.0,0.0,0.0,0,16,15.0,8.0,23.0,0.0,22.666666666666668,1
12,Finland,3,1,4,8,1980,0.0,0.0,0.0,0,15,16.0,15.0,31.0,0.0,22.666666666666668,1
15,Finland,4,2,6,12,1984,0.0,0.0,0.0,0,22,15.0,16.0,31.0,0.0,22.666666666666668,1
25,Finland,1,1,2,4,1988,0.0,0.0,0.0,0,7,22.0,15.0,37.0,0.0,22.666666666666668,1
29,Finland,1,2,2,5,1992,0.0,0.0,0.0,0,9,7.0,22.0,29.0,0.0,22.666666666666668,1
40,Finland,1,2,1,4,1996,0.0,0.0,0.0,0,8,9.0,7.0,16.0,0.0,22.666666666666668,1
31,Finland,2,1,1,4,2000,0.0,0.0,0.0,0,9,8.0,9.0,17.0,0.0,22.666666666666668,1
61,Finland,0,2,0,2,2004,0.0,0.0,0.0,0,4,9.0,8.0,17.0,0.0,22.666666666666668,1
44,Finland,1,1,2,4,2008,0.0,0.0,0.0,0,7,4.0,9.0,13.0,0.0,22.666666666666668,1
60,Finland,0,2,1,3,2012,0.0,0.0,0.0,0,5,7.0,4.0,11.0,0.0,22.666666666666668,1
78,Finland,0,0,1,1,2016,0.0,0.0,0.0,0,1,5.0,7.0,12.0,0.0,22.666666666666668,1
85,Finland,0,0,2,2,2020,0.0,0.0,0.0,0,2,1.0,5.0,6.0,0.0,22.666666666666668,1
5,GBR,2,3,2,7,1896,19.0,10.0,0.17757009345794392,0,14,0.0,0.0,0.0,0.3050009128926436,66.21428571428571,1
3,GBR,15,7,9,31,1900,39.0,104.0,0.1652542372881356,0,68,14.0,0.0,14.0,0.3050009128926436,66.21428571428571,1
9,GBR,1,1,0,2,1904,4.0,6.0,0.017857142857142856,0,5,68.0,14.0,82.0,0.3050009128926436,66.21428571428571,1
1,GBR,56,51,39,146,1908,108.0,732.0,0.4044943820224719,0,309,5.0,68.0,73.0,0.3050009128926436,66.21428571428571,1
3,GBR,10,15,16,41,1912,79.0,273.0,0.3347457627118644,0,76,309.0,5.0,314.0,0.3050009128926436,66.21428571428571,1
4,GBR,14,15,13,42,1920,84.0,234.0,0.23140495867768596,0,85,76.0,309.0,385.0,0.3050009128926436,66.21428571428571,1
4,GBR,9,13,12,34,1924,115.0,267.0,0.3938356164383562,0,65,85.0,76.0,161.0,0.3050009128926436,66.21428571428571,1
11,GBR,3,10,7,20,1928,84.0,231.0,0.3333333333333333,0,36,65.0,85.0,150.0,0.3050009128926436,66.21428571428571,1
12,GBR,4,7,3,14,1936,91.0,208.0,0.30132450331125826,0,29,36.0,65.0,101.0,0.3050009128926436,66.21428571428571,1
12,GBR,3,14,6,23,1948,139.0,406.0,0.44551282051282054,0,43,29.0,36.0,65.0,0.3050009128926436,66.21428571428571,1
18,GBR,1,2,8,11,1952,127.0,256.0,0.3757396449704142,0,15,43.0,29.0,72.0,0.3050009128926436,66.21428571428571,1
8,GBR,6,7,11,24,1956,113.0,197.0,0.3304093567251462,0,43,15.0,43.0,58.0,0.3050009128926436,66.21428571428571,1
10,GBR,4,12,2,18,1964,124.0,204.0,0.33513513513513515,0,38,43.0,15.0,58.0,0.3050009128926436,66.21428571428571,1
10,GBR,5,5,3,13,1968,133.0,225.0,0.344559585492228,0,28,38.0,43.0,81.0,0.3050009128926436,66.21428571428571,1
12,GBR,4,5,9,18,1972,159.0,284.0,0.3621867881548975,0,31,28.0,38.0,66.0,0.3050009128926436,66.21428571428571,1
13,GBR,3,5,5,13,1976,148.0,242.0,0.3333333333333333,0,24,31.0,28.0,59.0,0.3050009128926436,66.21428571428571,1
9,GBR,5,7,9,21,1980,145.0,219.0,0.31938325991189426,0,38,24.0,31.0,55.0,0.3050009128926436,66.21428571428571,1
11,GBR,5,11,21,37,1984,190.0,337.0,0.3861788617886179,0,58,38.0,24.0,62.0,0.3050009128926436,66.21428571428571,1
12,GBR,5,10,9,24,1988,191.0,345.0,0.36174242424242425,0,44,58.0,38.0,96.0,0.3050009128926436,66.21428571428571,1
13,GBR,5,3,12,20,1992,203.0,371.0,0.3542757417102967,0,33,44.0,58.0,102.0,0.3050009128926436,66.21428571428571,1
36,GBR,1,8,6,15,1996,175.0,300.0,0.2897350993377483,0,25,33.0,44.0,77.0,0.3050009128926436,66.21428571428571,1
10,GBR,11,10,7,28,2000,179.0,309.0,0.2683658170914543,0,60,25.0,33.0,58.0,0.3050009128926436,66.21428571428571,1
10,GBR,9,9,12,30,2004,162.0,264.0,0.242152466367713,0,57,60.0,25.0,85.0,0.3050009128926436,66.21428571428571,1
4,GBR,19,13,19,51,2008,185.0,303.0,0.274888558692422,0,102,57.0,60.0,117.0,0.3050009128926436,66.21428571428571,1
3,GBR,29,18,18,65,2012,249.0,530.0,0.3716417910447761,1,141,102.0,57.0,159.0,0.3050009128926436,66.21428571428571,1
2,GBR,27,23,17,67,2016,198.0,360.0,0.2903225806451613,0,144,141.0,102.0,243.0,0.3050009128926436,66.21428571428571,1
4,GBR,22,20,22,64,2020,197.0,392.0,0.2588699080157687,0,128,144.0,141.0,285.0,0.3050009128926436,66.21428571428571,1
7,GBR,14,22,29,65,2024,174.0,343.0,0.23577235772357724,0,115,128.0,144.0,272.0,0.3050009128926436,66.21428571428571,1
68,Georgia,0,0,2,2,1996,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,11.0,1
68,Georgia,0,0,6,6,2000,0.0,0.0,0.0,0,6,2.0,0.0,2.0,0.0,11.0,1
32,Georgia,2,2,0,4,2004,0.0,0.0,0.0,0,10,6.0,2.0,8.0,0.0,11.0,1
28,Georgia,3,2,2,7,2008,0.0,0.0,0.0,0,15,10.0,6.0,16.0,0.0,11.0,1
40,Georgia,1,2,3,6,2012,0.0,0.0,0.0,0,10,15.0,10.0,25.0,0.0,11.0,1
38,Georgia,2,1,4,7,2016,0.0,0.0,0.0,0,12,10.0,15.0,25.0,0.0,11.0,1
33,Georgia,2,5,1,8,2020,0.0,0.0,0.0,0,17,12.0,10.0,22.0,0.0,11.0,1
24,Georgia,3,3,1,7,2024,0.0,0.0,0.0,0,16,17.0,12.0,29.0,0.0,11.0,1
3,Germany,6,5,2,13,1896,0.0,0.0,0.0,0,30,0.0,0.0,0.0,0.15445707880571358,94.44444444444444,1
7,Germany,4,3,2,9,1900,0.0,0.0,0.0,0,20,30.0,0.0,30.0,0.15445707880571358,94.44444444444444,1
2,Germany,4,5,6,15,1904,0.0,0.0,0.0,0,28,20.0,30.0,50.0,0.15445707880571358,94.44444444444444,1
5,Germany,3,5,5,13,1908,0.0,0.0,0.0,0,24,28.0,20.0,48.0,0.15445707880571358,94.44444444444444,1
6,Germany,5,13,7,25,1912,0.0,0.0,0.0,0,48,24.0,28.0,52.0,0.15445707880571358,94.44444444444444,1
2,Germany,10,7,14,31,1928,0.0,0.0,0.0,0,58,48.0,24.0,72.0,0.15445707880571358,94.44444444444444,1
